         4189763 function calls (3931303 primitive calls) in 425.413 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       56    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/pathlib.py:589(_from_parts)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/synchronize.py:161(__init__)
        4    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:963(distribution)
     1172    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:912(__post_init__)
      572    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
        2    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/concurrent/futures/thread.py:180(_adjust_thread_count)
        4    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:532(from_name)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/tqdm/std.py:663(__new__)
      862    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:1902(get_origin)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/utils/versions.py:49(require_version)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1628(path_hook_for_FileFinder)
      882    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/enum.py:359(__call__)
       11    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/json/__init__.py:183(dumps)
      243    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:1143(<genexpr>)
     2260    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/posixpath.py:52(normcase)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/shared_memory.py:75(__init__)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_trustregion_krylov.py:1(<module>)
        7    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_ops.py:997(__getattr__)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:157(lora_requests)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/sparse/_lil.py:1(<module>)
     1680    0.001    0.000    0.001    0.000 {method 'stride' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:751(current_memory_usage)
       37    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/__init__.py:540(stream)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_remove_redundancy.py:1(<module>)
     16/9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/copy.py:259(_reconstruct)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/special/_basic.py:1(<module>)
      661    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:666(_use_captured_graph)
     1191    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/__init__.py:106(_is_compiled)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/fnmatch.py:44(_compile_pattern)
     3390    0.001    0.000    0.001    0.000 {built-in method _operator.index}
      990    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/pathlib.py:600(_from_parsed_parts)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/urllib/request.py:2524(proxy_bypass_environment)
      263    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:586(__init__)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/model_loader/weight_utils.py:290(filter_duplicate_safetensors_files)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_lsq/lsq_linear.py:1(<module>)
        7    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/utils.py:48(which)
       62    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_library/utils.py:110(is_tensorlist_like_type)
     1973    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:771(num_seqs)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:534(get_num_new_tokens)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/layer.py:1(<module>)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:468(extract_previous_hidden_states)
     3932    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:1432(_get_num_lookahead_slots)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/worker_base.py:154(as_broadcastable_tensor_dict)
       15    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/huggingface_hub/utils/_headers.py:142(get_token_to_send)
     1906    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      661    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/sampler.py:727(<listcomp>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/huggingface_hub/_snapshot_download.py:1(<module>)
     1313    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/block_manager_v1.py:211(get_num_free_blocks)
      105    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/urllib/parse.py:444(urlsplit)
       38    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/tqdm/std.py:1446(format_dict)
     3995    0.001    0.000    0.001    0.000 {method 'values' of 'collections.OrderedDict' objects}
      669    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:211(matches)
       37    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/__init__.py:497(__init__)
       40    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/logging/__init__.py:2071(getLogger)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/queues.py:161(_start_thread)
      2/1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/functional.py:199(einsum)
       11    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/json/encoder.py:182(encode)
       51    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:664(__init__)
      653    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:492(get_token_ids)
      916    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/backends/utils.py:155(<listcomp>)
        2    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/vocab_parallel_embedding.py:22(create_weights)
       42    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/tqdm/utils.py:333(_screen_shape_linux)
       15    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/huggingface_hub/utils/_token.py:31(get_token)
       17    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/requests/models.py:890(content)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:799(make_tensor_with_pad)
     1392    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/backends/xformers.py:147(__post_init__)
      232    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/dataclasses.py:824(_set_new_attribute)
     1906    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     3288    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:299(reset)
      189    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_utils.py:740(<lambda>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/pynccl_wrapper.py:186(__init__)
      667    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:1416(_passed_delay)
       92    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
      380    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/enum.py:470(__setattr__)
      141    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:267(_remove_dups_flatten)
        4    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/functools.py:884(wrapper)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:2895(<listcomp>)
        1    0.001    0.001    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/sp24.py:308(Sparse24Tensor)
     1164    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/os.py:698(__iter__)
       24    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/__init__.py:392(__getattr__)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/prompt_adapter/worker_manager.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:2407(_object_to_tensor)
       21    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/tokenize.py:390(open)
        2    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_generate_schema.py:446(clean_schema)
        2    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/memory.py:394(max_memory_allocated)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/sparse/_data.py:1(<module>)
      720    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/common.py:36(is_available)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/sparse/linalg/_isolve/iterative.py:1(<module>)
     1324    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:906(_as_iterable)
     1556    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        2    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/memory.py:173(memory_stats)
     2626    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:398(next_cache_id)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/_strptime.py:1(<module>)
       49    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/logging/__init__.py:1455(debug)
       12    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/requests/models.py:816(generate)
      661    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/multimodal/base.py:68(batch)
      248    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/triton/runtime/jit.py:278(is_constexpr)
      471    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/_distutils_hack/__init__.py:102(find_spec)
       21    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/logging/__init__.py:932(format)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:309(is_cpu)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_trlib/__init__.py:1(<module>)
       40    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/logging/__init__.py:1315(getLogger)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:78(ModelInputForGPU)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/fsspec/caching.py:1(<module>)
        7    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pexpect/utils.py:20(is_executable_file)
      361    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_ops.py:953(<genexpr>)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/huggingface_hub/file_download.py:949(_cache_commit_hash_for_specific_revision)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_trustregion_constr/equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/sp24.py:56(_get_cusparselt_torch_version)
     1148    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/functools.py:65(wraps)
       12    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/urllib3/response.py:1038(stream)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_library/infer_schema.py:8(infer_schema)
        5    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/resource_tracker.py:161(_send)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:70(add_num_batched_tokens)
       60    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/nn/modules/module.py:2233(parameters)
     5144    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/filelock/_unix.py:37(_acquire)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:336(is_xpu)
      735    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/nn/modules/module.py:2339(children)
      480    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/os.py:755(encode)
       52    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_library/autograd.py:89(<genexpr>)
     1306    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/sequence.py:234(get_output_len)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/_strptime.py:173(__init__)
       21    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/logging/formatter.py:10(format)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/sparse/linalg/_matfuncs.py:1(<module>)
      244    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/utils.py:17(set_weight_attrs)
     5005    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/activation.py:1(<module>)
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/block_manager_v1.py:659(get_block_table)
       27    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/logger.py:81(init_logger)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/resource_tracker.py:153(register)
      191    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/__init__.py:876(current_device)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/array_api_compat/common/_linalg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/optimize/_root_scalar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/custom_all_reduce.py:27(_can_p2p)
      256    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:355(__post_init__)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/sysconfig.py:473(_init_posix)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/decorator.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/device_communicators/custom_all_reduce_utils.py:179(gpu_p2p_access_check)
     2651    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
       18    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/common.py:87(decorator)
       13    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/c10d_logger.py:49(_get_msg_dict)
        5    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/multiprocessing/resource_tracker.py:78(ensure_running)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/urllib3/response.py:910(read)
       18    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/sparse/_data.py:148(_create_method)
       25    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/_ccallback.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/models/llama/configuration_llama.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/linalg/interpolative.py:1(<module>)
      661    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/sampling_metadata.py:135(__init__)
      942    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:100(section_pairs)
      916    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/worker/model_runner.py:496(_compute_for_prefix_cache_hit)
     7566    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
      660    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/engine/llm_engine.py:1664(_get_last_sampled_token_ids)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/dataclasses.py:842(_hash_add)
       26    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:1194(__getitem__)
      2/1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_generate_schema.py:1971(new_handler)
      272    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/distributed/parallel_state.py:1019(get_tensor_model_parallel_rank)
        1    0.001    0.001    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:3039(all_gather)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/algorithms/_checkpoint/checkpoint_wrapper.py:1(<module>)
     3451    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_jit_internal.py:1130(is_scripting)
       15    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/huggingface_hub/utils/_token.py:116(_get_token_from_file)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/tqdm/std.py:1160(__iter__)
      7/4    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_generate_schema.py:791(match_type)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:1(<module>)
     1206    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
        2    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/attention/selector.py:153(which_attn_to_use)
       54    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/dataclasses.py:227(_recursive_repr)
      146    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/typing.py:1234(<genexpr>)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/utils.py:956(find_nccl_library)
        5    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/decorator.py:177(create)
       47    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
     2363    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/triton/runtime/jit.py:741(<listcomp>)
     1023    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/contextlib.py:426(__exit__)
        2    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/glob.py:13(glob)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/configuration_utils.py:266(__init__)
        6    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/_library/utils.py:251(has_kwarg_only_tensors)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/urllib3/_collections.py:242(__init__)
     1053    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:119(valid)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/sp24.py:47(_get_cusparselt_lib)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/fnmatch.py:54(filter)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/dataclasses.py:637(_hash_fn)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:2424(_tensor_to_object)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:810(lookup)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/transformers/generation/configuration_utils.py:1010(from_dict)
      273    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/model_executor/layers/quantization/compressed_tensors/utils.py:208(get_compressed_tensors_cache_scale)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/array_api_compat/__init__.py:1(<module>)
        5    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/glob.py:53(_iglob)
      379    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/email/_policybase.py:293(header_source_parse)
       21    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/enum.py:165(__prepare__)
       21    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/logging/__init__.py:665(format)
      240    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/xformers/ops/fmha/common.py:96(normalize_bmhk)
      2/1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_std_types_schema.py:521(__get_pydantic_core_schema__)
       90    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/inspect.py:3014(replace)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/importlib/metadata/__init__.py:816(__init__)
        3    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/tqdm/_monitor.py:30(__init__)
      660    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/scheduler.py:165(prompt_adapter_requests)
      4/2    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_schema_generation_shared.py:96(generate_schema)
     1973    0.001    0.000    0.001    0.000 {method 'extendleft' of 'collections.deque' objects}
        7    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/_lib/_util.py:377(getfullargspec_no_self)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/vllm/core/block/interfaces.py:1(<module>)
       12    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/pydantic/_internal/_core_utils.py:400(walk_core_schema)
       37    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/torch/cuda/__init__.py:526(__exit__)
      389    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/constants/__init__.py:334(<listcomp>)
        8    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/numpy/lib/_version.py:55(__init__)
      653    0.001    0.000    0.001    0.000 {method 'append' of 'array.array' objects}
        1    0.000    0.000    0.001    0.001 /opt/conda/envs/pytorch/lib/python3.10/site-packages/scipy/spatial/_plotutils.py:1(<module>)
        9    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/urllib3/poolmanager.py:276(connection_from_host)
       42    0.000    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/site-packages/ptyprocess/ptyprocess.py:691(isalive)
     1026    0.001    0.000    0.001    0.000 /opt/conda/envs/pytorch/lib/python3.10/pathlib.py:239(splitroot)
